Title,Release Date,Language,Runtime,Revenue,Budget,Genre,Year,Month,Day,User rating,Rated,Profit
Avatar,2009-12-10,en,162.0,2787965087,237000000,Action,2009,12,10,7.8,PG-13,2550965087
Pirates of the Caribbean: At World's End,2007-05-19,en,169.0,961000000,300000000,Adventure,2007,5,19,7.1,PG-13,661000000
Spectre,2015-10-26,en,148.0,880674609,245000000,Action,2015,10,26,6.8,PG-13,635674609
The Dark Knight Rises,2012-07-16,en,165.0,1084939099,250000000,Action,2012,7,16,8.4,PG-13,834939099
John Carter,2012-03-07,en,132.0,284139100,260000000,Action,2012,3,7,6.6,PG-13,24139100
Spider-Man 3,2007-05-01,en,139.0,890871626,258000000,Fantasy,2007,5,1,6.2,PG-13,632871626
Tangled,2010-11-24,en,100.0,591794936,260000000,Animation,2010,11,24,7.7,PG,331794936
Avengers: Age of Ultron,2015-04-22,en,141.0,1405403694,280000000,Action,2015,4,22,7.3,PG-13,1125403694
Harry Potter and the Half-Blood Prince,2009-07-07,en,153.0,933959197,250000000,Adventure,2009,7,7,7.6,PG,683959197
Batman v Superman: Dawn of Justice,2016-03-23,en,151.0,873260194,250000000,Action,2016,3,23,6.5,PG-13,623260194
Superman Returns,2006-06-28,en,154.0,391081192,270000000,Adventure,2006,6,28,6.0,PG-13,121081192
Quantum of Solace,2008-10-30,en,106.0,586090727,200000000,Adventure,2008,10,30,6.6,PG-13,386090727
Pirates of the Caribbean: Dead Man's Chest,2006-06-20,en,151.0,1065659812,200000000,Adventure,2006,6,20,7.3,PG-13,865659812
The Lone Ranger,2013-07-03,en,149.0,89289910,255000000,Action,2013,7,3,6.4,PG-13,-165710090
Man of Steel,2013-06-12,en,143.0,662845518,225000000,Action,2013,6,12,7.0,PG-13,437845518
The Chronicles of Narnia: Prince Caspian,2008-05-15,en,150.0,419651413,225000000,Adventure,2008,5,15,6.5,PG,194651413
The Avengers,2012-04-25,en,143.0,1519557910,220000000,Science,2012,4,25,8.0,PG-13,1299557910
Pirates of the Caribbean: On Stranger Tides,2011-05-14,en,136.0,1045713802,380000000,Adventure,2011,5,14,6.6,PG-13,665713802
Men in Black 3,2012-05-23,en,106.0,624026776,225000000,Action,2012,5,23,6.8,PG-13,399026776
The Hobbit: The Battle of the Five Armies,2014-12-10,en,144.0,956019788,250000000,Action,2014,12,10,7.4,PG-13,706019788
The Amazing Spider-Man,2012-06-27,en,136.0,752215857,215000000,Action,2012,6,27,6.9,PG-13,537215857
Robin Hood,2010-05-12,en,140.0,310669540,200000000,Action,2010,5,12,6.6,PG-13,110669540
The Hobbit: The Desolation of Smaug,2013-12-11,en,161.0,958400000,250000000,Adventure,2013,12,11,7.8,PG-13,708400000
The Golden Compass,2007-12-04,en,113.0,372234864,180000000,Adventure,2007,12,4,6.1,PG-13,192234864
King Kong,2005-12-14,en,187.0,550000000,207000000,Adventure,2005,12,14,7.2,PG-13,343000000
Titanic,1997-11-18,en,194.0,1845034188,200000000,Drama,1997,11,18,7.8,PG-13,1645034188
Captain America: Civil War,2016-04-27,en,147.0,1153304495,250000000,Adventure,2016,4,27,7.8,PG-13,903304495
Battleship,2012-04-11,en,131.0,303025485,209000000,Thriller,2012,4,11,5.8,PG-13,94025485
Jurassic World,2015-06-09,en,124.0,1513528810,150000000,Action,2015,6,9,7.0,PG-13,1363528810
Skyfall,2012-10-25,en,143.0,1108561013,200000000,Action,2012,10,25,7.7,PG-13,908561013
Spider-Man 2,2004-06-25,en,127.0,783766341,200000000,Action,2004,6,25,7.3,PG-13,583766341
Iron Man 3,2013-04-18,en,130.0,1215439994,200000000,Action,2013,4,18,7.2,PG-13,1015439994
Alice in Wonderland,2010-03-03,en,108.0,1025491110,200000000,Family,2010,3,3,6.4,PG,825491110
X-Men: The Last Stand,2006-05-24,en,104.0,459359555,210000000,Adventure,2006,5,24,6.7,PG-13,249359555
Monsters University,2013-06-20,en,104.0,743559607,200000000,Animation,2013,6,20,7.3,G,543559607
Transformers: Revenge of the Fallen,2009-06-19,en,150.0,836297228,150000000,Science,2009,6,19,6.0,PG-13,686297228
Transformers: Age of Extinction,2014-06-25,en,165.0,1091405097,210000000,Science,2014,6,25,5.6,PG-13,881405097
Oz: The Great and Powerful,2013-03-07,en,130.0,491868548,200000000,Fantasy,2013,3,7,6.3,PG,291868548
The Amazing Spider-Man 2,2014-04-16,en,142.0,705717432,200000000,Action,2014,4,16,6.6,PG-13,505717432
TRON: Legacy,2010-12-10,en,125.0,400062763,170000000,Adventure,2010,12,10,6.8,PG,230062763
Cars 2,2011-06-11,en,106.0,559852396,200000000,Animation,2011,6,11,6.1,G,359852396
Green Lantern,2011-06-16,en,114.0,219851172,200000000,Adventure,2011,6,16,5.5,PG-13,19851172
Toy Story 3,2010-06-16,en,103.0,1066969703,200000000,Animation,2010,6,16,8.3,G,866969703
Terminator Salvation,2009-05-20,en,115.0,371353001,200000000,Action,2009,5,20,6.5,PG-13,171353001
Furious 7,2015-04-01,en,137.0,1506249360,190000000,Action,2015,4,1,7.1,PG-13,1316249360
World War Z,2013-06-20,en,116.0,531865000,200000000,Action,2013,6,20,7.0,PG-13,331865000
X-Men: Days of Future Past,2014-05-15,en,131.0,747862775,250000000,Action,2014,5,15,8.0,PG-13,497862775
Star Trek Into Darkness,2013-05-05,en,132.0,467365246,190000000,Action,2013,5,5,7.7,PG-13,277365246
Jack the Giant Slayer,2013-02-27,en,114.0,197687603,195000000,Action,2013,2,27,6.2,PG-13,2687603
The Great Gatsby,2013-05-10,en,143.0,351040419,105000000,Drama,2013,5,10,7.2,PG-13,246040419
Prince of Persia: The Sands of Time,2010-05-19,en,116.0,335154643,150000000,Adventure,2010,5,19,6.6,PG-13,185154643
Pacific Rim,2013-07-11,en,131.0,407602906,180000000,Action,2013,7,11,6.9,PG-13,227602906
Transformers: Dark of the Moon,2011-06-28,en,154.0,1123746996,195000000,Action,2011,6,28,6.2,PG-13,928746996
Indiana Jones and the Kingdom of the Crystal Skull,2008-05-21,en,122.0,786636033,185000000,Adventure,2008,5,21,6.1,PG-13,601636033
The Good Dinosaur,2015-11-14,en,93.0,331926147,175000000,Adventure,2015,11,14,6.7,PG,156926147
Brave,2012-06-21,en,93.0,538983207,185000000,Animation,2012,6,21,7.1,PG,353983207
Star Trek Beyond,2016-07-07,en,122.0,343471816,185000000,Action,2016,7,7,7.1,PG-13,158471816
WALL·E,2008-06-22,en,98.0,521311860,180000000,Animation,2008,6,22,8.4,G,341311860
Rush Hour 3,2007-08-08,en,91.0,258022233,140000000,Action,2007,8,8,6.2,PG-13,118022233
2012,2009-10-10,en,158.0,769653595,200000000,Action,2009,10,10,5.8,PG-13,569653595
A Christmas Carol,2009-11-04,en,96.0,325233863,200000000,Animation,2009,11,4,6.8,PG,125233863
Jupiter Ascending,2015-02-04,en,124.0,183987723,176000003,Science,2015,2,4,5.3,PG-13,7987720
The Legend of Tarzan,2016-06-29,en,109.0,356743061,180000000,Action,2016,6,29,6.2,PG-13,176743061
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005-12-07,en,143.0,748806957,180000000,Adventure,2005,12,7,6.9,PG,568806957
X-Men: Apocalypse,2016-05-18,en,144.0,543934787,178000000,Science,2016,5,18,6.9,PG-13,365934787
The Dark Knight,2008-07-16,en,152.0,1004558444,185000000,Drama,2008,7,16,9.0,PG-13,819558444
Up,2009-05-13,en,96.0,735099082,175000000,Animation,2009,5,13,8.2,PG,560099082
Monsters vs Aliens,2009-03-19,en,94.0,381509870,175000000,Animation,2009,3,19,6.4,TV-PG,206509870
Iron Man,2008-04-30,en,126.0,585174222,140000000,Action,2008,4,30,7.9,PG-13,445174222
Hugo,2011-11-22,en,126.0,185770160,170000000,Adventure,2011,11,22,7.5,PG,15770160
Wild Wild West,1999-06-29,en,106.0,222104681,170000000,Action,1999,6,29,4.9,PG-13,52104681
The Mummy: Tomb of the Dragon Emperor,2008-07-01,en,112.0,401128639,145000000,Adventure,2008,7,1,5.2,PG-13,256128639
Suicide Squad,2016-08-02,en,123.0,745000000,175000000,Action,2016,8,2,6.0,PG-13,570000000
Evan Almighty,2007-06-09,en,96.0,173000000,175000000,Fantasy,2007,6,9,5.4,PG,-2000000
Edge of Tomorrow,2014-05-27,en,113.0,370541256,178000000,Action,2014,5,27,7.9,PG-13,192541256
Waterworld,1995-07-28,en,135.0,264218220,175000000,Adventure,1995,7,28,6.2,PG-13,89218220
G.I. Joe: The Rise of Cobra,2009-08-04,en,118.0,302469017,175000000,Adventure,2009,8,4,5.8,PG-13,127469017
Inside Out,2015-06-09,en,94.0,857611174,175000000,Drama,2015,6,9,8.1,PG,682611174
The Jungle Book,2016-04-07,en,106.0,966550600,175000000,Family,2016,4,7,7.4,PG,791550600
Iron Man 2,2010-04-28,en,124.0,623933331,200000000,Adventure,2010,4,28,7.0,PG-13,423933331
Snow White and the Huntsman,2012-05-30,en,127.0,396600000,170000000,Adventure,2012,5,30,6.1,PG-13,226600000
Maleficent,2014-05-28,en,97.0,758539785,180000000,Fantasy,2014,5,28,7.0,PG,578539785
Dawn of the Planet of the Apes,2014-06-26,en,130.0,710644566,170000000,Science,2014,6,26,7.6,PG-13,540644566
47 Ronin,2013-12-06,en,119.0,150962475,175000000,Drama,2013,12,6,6.3,PG-13,-24037525
Captain America: The Winter Soldier,2014-03-20,en,136.0,714766572,170000000,Action,2014,3,20,7.7,PG-13,544766572
Shrek Forever After,2010-05-16,en,93.0,752600867,165000000,Comedy,2010,5,16,6.3,PG,587600867
Tomorrowland,2015-05-19,en,130.0,209154322,190000000,Adventure,2015,5,19,6.4,PG,19154322
Big Hero 6,2014-10-24,en,102.0,652105443,165000000,Adventure,2014,10,24,7.8,PG,487105443
Wreck-It Ralph,2012-11-01,en,108.0,471222889,165000000,Family,2012,11,1,7.7,PG,306222889
The Polar Express,2004-11-10,en,100.0,305875730,165000000,Adventure,2004,11,10,6.6,G,140875730
Independence Day: Resurgence,2016-06-22,en,120.0,389681935,165000000,Action,2016,6,22,5.2,PG-13,224681935
How to Train Your Dragon,2010-03-05,en,98.0,494878759,165000000,Fantasy,2010,3,5,8.1,PG,329878759
Terminator 3: Rise of the Machines,2003-07-02,en,109.0,435000000,200000000,Action,2003,7,2,6.3,R,235000000
Guardians of the Galaxy,2014-07-30,en,121.0,773328629,170000000,Action,2014,7,30,8.0,PG-13,603328629
Interstellar,2014-11-05,en,169.0,675120017,165000000,Adventure,2014,11,5,8.6,PG-13,510120017
Inception,2010-07-14,en,148.0,825532764,160000000,Action,2010,7,14,8.8,PG-13,665532764
シン・ゴジラ,2016-07-29,ja,120.0,77000000,15000000,Action,2016,7,29,No Rating,No Rating,62000000
The Hobbit: An Unexpected Journey,2012-11-26,en,169.0,1021103568,250000000,Adventure,2012,11,26,7.8,PG-13,771103568
The Fast and the Furious,2001-06-22,en,106.0,207283925,38000000,Action,2001,6,22,6.8,PG-13,169283925
The Curious Case of Benjamin Button,2008-11-24,en,166.0,333932083,150000000,Fantasy,2008,11,24,7.8,PG-13,183932083
X-Men: First Class,2011-05-24,en,132.0,353624124,160000000,Action,2011,5,24,7.7,PG-13,193624124
The Hunger Games: Mockingjay - Part 2,2015-11-18,en,137.0,653428261,160000000,Action,2015,11,18,6.5,PG-13,493428261
The Sorcerer's Apprentice,2010-07-13,en,109.0,215283742,150000000,Fantasy,2010,7,13,6.1,PG,65283742
Poseidon,2006-05-12,en,99.0,181674817,160000000,Adventure,2006,5,12,5.7,PG-13,21674817
Alice Through the Looking Glass,2016-05-25,en,113.0,299370084,170000000,Fantasy,2016,5,25,6.2,PG,129370084
Shrek the Third,2007-05-17,en,93.0,798958165,160000000,Fantasy,2007,5,17,6.1,PG,638958165
Warcraft,2016-05-25,en,123.0,433677183,160000000,Action,2016,5,25,6.8,PG-13,273677183
Terminator Genisys,2015-06-23,en,126.0,440603537,155000000,Science,2015,6,23,6.4,PG-13,285603537
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010-08-13,en,113.0,415686217,155000000,Adventure,2010,8,13,6.3,PG,260686217
Pearl Harbor,2001-05-21,en,183.0,449220945,140000000,History,2001,5,21,6.2,PG-13,309220945
Transformers,2007-06-27,en,144.0,709709780,150000000,Adventure,2007,6,27,7.0,PG-13,559709780
Alexander,2004-11-21,en,175.0,167298192,155000000,War,2004,11,21,5.6,R,12298192
Harry Potter and the Order of the Phoenix,2007-06-28,en,138.0,938212738,150000000,Adventure,2007,6,28,7.5,PG-13,788212738
Harry Potter and the Goblet of Fire,2005-11-05,en,157.0,895921036,150000000,Adventure,2005,11,5,7.7,PG-13,745921036
Hancock,2008-07-01,en,92.0,624029371,150000000,Fantasy,2008,7,1,6.4,PG-13,474029371
I Am Legend,2007-12-14,en,101.0,585349010,150000000,Drama,2007,12,14,7.2,PG-13,435349010
Charlie and the Chocolate Factory,2005-07-13,en,115.0,474968763,150000000,Adventure,2005,7,13,6.6,PG,324968763
Ratatouille,2007-06-22,en,111.0,623722818,150000000,Animation,2007,6,22,8.0,G,473722818
Batman Begins,2005-06-10,en,140.0,374218673,150000000,Action,2005,6,10,8.2,PG-13,224218673
Madagascar: Escape 2 Africa,2008-10-30,en,89.0,603900354,150000000,Family,2008,10,30,6.6,PG,453900354
Night at the Museum: Battle of the Smithsonian,2009-05-20,en,105.0,413106170,150000000,Adventure,2009,5,20,6.0,PG,263106170
X-Men Origins: Wolverine,2009-04-28,en,107.0,373062864,150000000,Adventure,2009,4,28,6.6,PG-13,223062864
The Matrix Revolutions,2003-11-05,en,129.0,424988211,150000000,Adventure,2003,11,5,6.8,R,274988211
